X=(A+B)*(C+D)
passo;PC;Instrucao;A;B;C;D;Variavel5;X
1;1;LOAD A, 1000;1;;;;;
2;2;LOAD B, 1001;1;2;;;;
3;3;LOAD C, 1002;1;2;3;;;
4;4;LOAD D, 1003;1;2;3;4;;
5;5;ADD A, B;3;2;3;4;;
6;6;ADD C, D;3;2;7;4;;
7;7;MULT A, C;24;2;7;4;;
8;8;STORE X, A;24;2;7;4;;24
9;9;HALT;24;2;7;4;;24
;;;;;;;;;;
;;;;;;;;;;
S=(PxQ)+(L-MxN)
passo;PC;Instrucao;P;Q;L;M;N;S
1;1;LOAD P, 1000;5;;;;;
2;2;LOAD Q, 1001;5;6;;;;
3;3;LOAD L, 1002;5;6;7;;;
4;4;LOAD M, 1003;5;6;7;8;;
5;5;LOAD N, 1004;5;6;7;8;9;
6;6;MULT P, Q;30;6;7;8;9;
7;7;MULT M, N;30;6;7;72;9;
8;8;SUB M, L;30;6;65;72;9;
9;9;ADD P, M;35;6;65;72;9;
10;10;STORE S, P;35;6;65;72;9;35
11;11;HALT;35;6;65;72;9;35
;;;;;;;;;;
;;;;;;;;;;
Y=(X/Z)+(P/Q+A)
passo;PC;Instrucao;X;Z;P;Q;A;Y
1;1;LOAD X, 1000;20;;;;
2;2;LOAD Z, 1001;20;10;;;
3;3;LOAD P, 1002;20;10;24;;;
4;4;LOAD Q, 1003;20;10;24;12;
5;5;LOAD A, 1004;20;10;24;12;13;
6;6;DIV X, Z;2;10;24;12;13;
7;7;DIV P, Q;2;10;2;12;13;
8;8;ADD P, A;2;10;15;12;13;
9;9;ADD X, P;17;10;15;12;13;
10;10;STORE S, X;17;10;15;12;17
11;11;HALT;17;10;15;12;17
;;;;;;;;;;
;;;;;;;;;;
S=(C+D)+(ExB)
passo;PC;Instrucao;C;D;E;B;S
1;1;LOAD C, 1000;16;;;;;
2;2; LOAD D, 1001;16;17;;;;
3;3;LOAD E, 1002;16;17;18;;;
4;4;LOAD B, 1003;16;17;18;19;
5;5;ADD C, D;33;17;18;19;;
6;6;MULT E, B;33;17;342;19;;
7;7;ADD C, E;375;17;342;19;;
8;8;STORE S, C;375;17;342;19;375
9;9;HALT;375;17;342;19;375
;;;;;;;;;;
;;;;;;;;;;
S=(AxA)-(BxB)
passo;PC;Instrucao;A;B;S
1;1;LOAD A, 1000;24;;;;;
2;2;LOAD B 1001;24;25;;;;
3;3;MULT A, A;576;25;;;;
4;4;MULT B, B;576;625;;;
5;5;SUB B, A;576;49;;;;
6;6;STORE S, B;576;49;49
7;7;HALT;576;49;49;
















